loan_id,borrower_id,state,occupation,loan_amount,interest_rate_pct,tenure_months,disbursement_date,repayment_frequency,loan_purpose,loan_officer_id,emi_amount,days_past_due,loan_status,credit_score
LN-0186,BRW-0186,Bihar,Weaver,5000,20.95,6,2023-05-04,Monthly,Agricultural Input,LO-001,884.99,0,Active,786
LN-0187,BRW-0187,Uttar Pradesh,Tea Stall Owner,5000,22.67,9,2023-12-10,Monthly,Education,LO-020,609.34,13,Active,763
LN-0188,BRW-0188,Uttar Pradesh,Street Vendor,7500,19.53,18,2022-10-05,Bi-Weekly,Asset Purchase,LO-014,484.03,14,Active,785
LN-0189,BRW-0189,Madhya Pradesh,Tea Stall Owner,5000,23.65,24,2022-03-01,Monthly,Agricultural Input,LO-016,263.48,0,Closed,790
LN-0190,BRW-0190,Tamil Nadu,Weaver,20000,22.37,12,2023-09-19,Weekly,Asset Purchase,LO-009,1875.45,0,Active,784
LN-0191,BRW-0191,Bihar,Auto Rickshaw Driver,12500,23.52,18,2022-10-12,Bi-Weekly,Agricultural Input,LO-018,830.85,231,NPA,510
LN-0192,BRW-0192,Karnataka,Fisherman,25000,25.17,18,2022-12-08,Weekly,Agricultural Input,LO-002,1681.88,0,Closed,815
LN-0193,BRW-0193,Karnataka,Domestic Worker,30000,23.25,18,2022-03-15,Weekly,Medical Emergency,LO-009,1990.08,230,NPA,502
LN-0194,BRW-0194,Karnataka,Fisherman,12500,19.94,24,2022-04-08,Monthly,Asset Purchase,LO-002,635.83,0,Closed,791
LN-0195,BRW-0195,Madhya Pradesh,Farmer,10000,18.04,24,2021-11-20,Bi-Weekly,Education,LO-016,499.43,0,Closed,782
LN-0196,BRW-0196,Bihar,Domestic Worker,15000,23.17,6,2022-04-21,Monthly,Education,LO-002,2671.64,42,Active,745
LN-0197,BRW-0197,Tamil Nadu,Street Vendor,25000,24.3,9,2022-08-16,Weekly,Working Capital,LO-010,3066.54,0,Closed,776
LN-0198,BRW-0198,Rajasthan,Auto Rickshaw Driver,30000,25.91,24,2023-12-10,Bi-Weekly,Asset Purchase,LO-017,1614.88,0,Active,782
LN-0199,BRW-0199,Karnataka,Domestic Worker,10000,23.85,12,2022-01-17,Weekly,Education,LO-011,944.87,19,Active,790
LN-0200,BRW-0200,Uttar Pradesh,Tailor,25000,24.62,24,2022-11-03,Weekly,Home Improvement,LO-004,1329.53,0,Closed,778
LN-0201,BRW-0201,Madhya Pradesh,Domestic Worker,12500,18.05,18,2022-04-28,Bi-Weekly,Agricultural Input,LO-011,797.87,0,Closed,816
LN-0202,BRW-0202,Maharashtra,Auto Rickshaw Driver,20000,23.54,6,2021-08-31,Bi-Weekly,Agricultural Input,LO-006,3565.9,0,Closed,802
LN-0203,BRW-0203,Bihar,Tea Stall Owner,7500,23.11,12,2023-01-23,Monthly,Asset Purchase,LO-008,705.97,335,NPA,377
LN-0204,BRW-0204,Madhya Pradesh,Tea Stall Owner,20000,21.33,24,2023-08-23,Monthly,Education,LO-007,1030.96,22,Active,791
LN-0205,BRW-0205,Karnataka,Carpenter,30000,22.23,12,2021-06-09,Monthly,Working Capital,LO-002,2811.15,88,Active,696
LN-0206,BRW-0206,Uttar Pradesh,Fisherman,10000,19.32,24,2023-06-24,Weekly,Education,LO-007,505.64,16,Active,755
LN-0207,BRW-0207,Madhya Pradesh,Street Vendor,30000,19.06,18,2023-07-25,Monthly,Working Capital,LO-018,1929.37,0,Active,821
LN-0208,BRW-0208,Bihar,Tea Stall Owner,5000,21.17,6,2022-03-23,Monthly,Working Capital,LO-002,885.54,0,Closed,814
LN-0209,BRW-0209,Karnataka,Carpenter,5000,25.48,6,2023-08-25,Weekly,Agricultural Input,LO-014,896.35,0,Active,778
LN-0210,BRW-0210,West Bengal,Domestic Worker,25000,21.59,18,2023-02-09,Weekly,Education,LO-018,1638.25,0,Active,825
LN-0211,BRW-0211,Rajasthan,Farmer,10000,25.94,18,2023-12-20,Weekly,Education,LO-008,676.54,79,Active,676
LN-0212,BRW-0212,Bihar,Weaver,25000,22.26,9,2022-05-22,Bi-Weekly,Agricultural Input,LO-005,3041.73,0,Closed,829
LN-0213,BRW-0213,Karnataka,Street Vendor,25000,22.92,6,2022-05-08,Weekly,Working Capital,LO-004,4449.6,0,Closed,798
LN-0214,BRW-0214,Maharashtra,Kirana Shop Owner,5000,21.22,9,2022-03-21,Weekly,Asset Purchase,LO-017,605.82,210,NPA,570
LN-0215,BRW-0215,Rajasthan,Fisherman,20000,19.9,9,2023-12-04,Weekly,Home Improvement,LO-010,2410.52,0,Active,805
LN-0216,BRW-0216,Tamil Nadu,Vegetable Seller,25000,22.45,6,2022-12-07,Monthly,Education,LO-013,4443.71,11,Active,800
LN-0217,BRW-0217,West Bengal,Cattle Farmer,10000,20.4,9,2023-08-28,Weekly,Asset Purchase,LO-010,1207.68,40,Active,773
LN-0218,BRW-0218,Madhya Pradesh,Street Vendor,25000,25.74,24,2023-12-22,Weekly,Home Improvement,LO-008,1343.59,0,Active,791
LN-0219,BRW-0219,Karnataka,Weaver,20000,18.74,9,2021-04-16,Bi-Weekly,Home Improvement,LO-020,2399.32,28,Active,740
LN-0220,BRW-0220,Uttar Pradesh,Fisherman,12500,21.84,12,2022-09-13,Weekly,Asset Purchase,LO-007,1168.97,151,NPA,635
LN-0221,BRW-0221,Madhya Pradesh,Kirana Shop Owner,12500,21.17,9,2022-10-21,Bi-Weekly,Home Improvement,LO-015,1514.26,0,Closed,792
LN-0222,BRW-0222,Bihar,Auto Rickshaw Driver,20000,22.1,18,2023-08-13,Weekly,Education,LO-016,1315.54,11,Active,814
LN-0223,BRW-0223,Uttar Pradesh,Domestic Worker,20000,21.31,24,2022-03-30,Monthly,Asset Purchase,LO-001,1030.76,0,Closed,829
LN-0224,BRW-0224,West Bengal,Auto Rickshaw Driver,10000,19.57,9,2023-02-17,Monthly,Asset Purchase,LO-016,1203.67,0,Active,830
LN-0225,BRW-0225,Rajasthan,Auto Rickshaw Driver,30000,25.73,18,2023-08-02,Weekly,Education,LO-012,2026.52,0,Active,816
LN-0226,BRW-0226,Madhya Pradesh,Tailor,5000,22.19,6,2021-04-10,Weekly,Home Improvement,LO-005,888.09,45,Active,720
LN-0227,BRW-0227,Tamil Nadu,Street Vendor,12500,22.05,12,2021-05-04,Monthly,Education,LO-020,1170.23,73,Active,713
LN-0228,BRW-0228,Maharashtra,Street Vendor,25000,18.09,24,2022-07-17,Monthly,Agricultural Input,LO-001,1249.19,0,Closed,814
LN-0229,BRW-0229,West Bengal,Tailor,7500,25.34,24,2021-11-01,Weekly,Asset Purchase,LO-020,401.57,0,Closed,822
LN-0230,BRW-0230,Rajasthan,Auto Rickshaw Driver,25000,18.63,18,2023-07-30,Monthly,Asset Purchase,LO-008,1602.66,0,Active,822
LN-0231,BRW-0231,Karnataka,Vegetable Seller,5000,18.75,18,2023-02-12,Monthly,Home Improvement,LO-002,320.82,23,Active,752
LN-0232,BRW-0232,Karnataka,Weaver,25000,23.16,12,2021-07-15,Monthly,Working Capital,LO-008,2353.84,0,Closed,825
LN-0233,BRW-0233,Madhya Pradesh,Auto Rickshaw Driver,5000,25.39,12,2021-03-09,Weekly,Agricultural Input,LO-001,476.17,164,NPA,621
LN-0234,BRW-0234,West Bengal,Farmer,15000,19.3,9,2023-03-08,Monthly,Medical Emergency,LO-011,1803.54,0,Active,817
LN-0235,BRW-0235,Tamil Nadu,Tea Stall Owner,7500,22.01,12,2021-04-20,Weekly,Home Improvement,LO-008,701.99,52,Active,745
LN-0236,BRW-0236,West Bengal,Domestic Worker,5000,23.07,18,2023-10-02,Weekly,Agricultural Input,LO-018,331.24,312,NPA,406
LN-0237,BRW-0237,West Bengal,Farmer,15000,24.38,6,2021-06-18,Bi-Weekly,Asset Purchase,LO-013,2680.75,21,Active,753
LN-0238,BRW-0238,West Bengal,Domestic Worker,20000,18.85,6,2022-09-24,Bi-Weekly,Agricultural Input,LO-009,3518.98,0,Closed,775
LN-0239,BRW-0239,Tamil Nadu,Cattle Farmer,30000,22.46,24,2023-04-16,Weekly,Working Capital,LO-003,1563.17,0,Active,775
LN-0240,BRW-0240,Rajasthan,Cattle Farmer,5000,20.33,18,2021-06-23,Monthly,Medical Emergency,LO-008,324.61,0,Closed,780
LN-0241,BRW-0241,West Bengal,Tailor,10000,20.15,12,2023-10-07,Weekly,Working Capital,LO-006,927.06,0,Active,796
LN-0242,BRW-0242,Bihar,Weaver,7500,20.89,9,2023-10-13,Monthly,Medical Emergency,LO-007,907.54,0,Active,778
LN-0243,BRW-0243,Bihar,Street Vendor,25000,20.66,24,2023-02-18,Bi-Weekly,Home Improvement,LO-011,1280.47,0,Active,822
LN-0244,BRW-0244,Tamil Nadu,Auto Rickshaw Driver,20000,22.83,9,2023-09-09,Bi-Weekly,Asset Purchase,LO-013,2438.92,240,NPA,529
LN-0245,BRW-0245,Madhya Pradesh,Fisherman,12500,20.61,12,2023-03-16,Bi-Weekly,Working Capital,LO-019,1161.58,0,Active,804
LN-0246,BRW-0246,Tamil Nadu,Vegetable Seller,5000,25.62,18,2022-03-06,Bi-Weekly,Agricultural Input,LO-003,337.48,81,Active,722
LN-0247,BRW-0247,West Bengal,Vegetable Seller,30000,19.11,12,2022-05-11,Bi-Weekly,Education,LO-005,2766.27,26,Active,762
LN-0248,BRW-0248,Karnataka,Weaver,30000,22.66,24,2023-11-04,Monthly,Home Improvement,LO-018,1566.14,0,Active,793
LN-0249,BRW-0249,Karnataka,Farmer,12500,23.26,12,2021-12-07,Monthly,Medical Emergency,LO-002,1177.52,0,Closed,811
LN-0250,BRW-0250,West Bengal,Domestic Worker,25000,18.85,6,2022-06-14,Weekly,Medical Emergency,LO-017,4398.72,0,Closed,814
LN-0251,BRW-0251,Uttar Pradesh,Weaver,20000,21.13,24,2023-10-22,Weekly,Agricultural Input,LO-001,1028.99,0,Active,788
LN-0252,BRW-0252,West Bengal,Farmer,7500,24.65,9,2022-12-15,Bi-Weekly,Agricultural Input,LO-015,921.24,17,Active,779
LN-0253,BRW-0253,Rajasthan,Weaver,7500,21.51,18,2022-10-16,Weekly,Agricultural Input,LO-002,491.19,38,Active,725
LN-0254,BRW-0254,Rajasthan,Vegetable Seller,7500,23.42,9,2022-05-15,Monthly,Asset Purchase,LO-018,916.75,0,Closed,805
LN-0255,BRW-0255,West Bengal,Weaver,12500,24.38,9,2022-01-17,Monthly,Education,LO-014,1533.76,0,Closed,817
LN-0256,BRW-0256,Uttar Pradesh,Weaver,25000,21.11,9,2022-02-26,Bi-Weekly,Education,LO-003,3027.79,0,Closed,821
LN-0257,BRW-0257,Tamil Nadu,Domestic Worker,20000,19.58,6,2022-06-22,Monthly,Home Improvement,LO-017,3526.26,251,NPA,506
LN-0258,BRW-0258,West Bengal,Fisherman,25000,22.7,12,2022-12-22,Bi-Weekly,Medical Emergency,LO-006,2348.29,76,Active,729
LN-0259,BRW-0259,Bihar,Fisherman,7500,23.38,12,2021-08-30,Weekly,Agricultural Input,LO-004,706.95,0,Closed,814
LN-0260,BRW-0260,Tamil Nadu,Carpenter,25000,21.35,9,2023-02-25,Bi-Weekly,Asset Purchase,LO-016,3030.69,23,Active,800
LN-0261,BRW-0261,Tamil Nadu,Carpenter,10000,21.92,9,2022-01-19,Bi-Weekly,Home Improvement,LO-020,1215.04,0,Closed,792
LN-0262,BRW-0262,Maharashtra,Weaver,10000,19.56,18,2023-11-02,Monthly,Home Improvement,LO-014,645.52,14,Active,798
LN-0263,BRW-0263,Madhya Pradesh,Weaver,10000,18.66,6,2022-03-28,Bi-Weekly,Working Capital,LO-009,1758.54,0,Closed,788
LN-0264,BRW-0264,Tamil Nadu,Weaver,30000,22.4,6,2021-08-22,Bi-Weekly,Medical Emergency,LO-012,5331.7,0,Closed,818
LN-0265,BRW-0265,Maharashtra,Tea Stall Owner,30000,22.37,18,2021-07-29,Monthly,Education,LO-008,1977.24,0,Closed,772
LN-0266,BRW-0266,Madhya Pradesh,Auto Rickshaw Driver,20000,24.9,6,2023-06-19,Weekly,Asset Purchase,LO-007,3579.56,68,Active,732
LN-0267,BRW-0267,Rajasthan,Tea Stall Owner,25000,19.33,9,2022-02-28,Weekly,Working Capital,LO-019,3006.27,0,Closed,787
LN-0268,BRW-0268,Tamil Nadu,Domestic Worker,15000,20.31,12,2023-11-20,Monthly,Working Capital,LO-005,1391.74,301,NPA,466
LN-0269,BRW-0269,Maharashtra,Auto Rickshaw Driver,10000,23.61,9,2022-05-27,Weekly,Education,LO-011,1223.25,79,Active,728
LN-0270,BRW-0270,West Bengal,Weaver,10000,22.62,12,2023-04-29,Bi-Weekly,Home Improvement,LO-003,938.93,29,Active,784
LN-0271,BRW-0271,Karnataka,Cattle Farmer,15000,23.56,12,2023-07-21,Bi-Weekly,Agricultural Input,LO-019,1415.2,0,Active,819
LN-0272,BRW-0272,Karnataka,Tea Stall Owner,30000,23.08,12,2021-05-10,Monthly,Home Improvement,LO-007,2823.45,199,NPA,562
LN-0273,BRW-0273,Bihar,Domestic Worker,15000,20.7,24,2021-09-25,Monthly,Home Improvement,LO-011,768.58,79,Active,678
LN-0274,BRW-0274,Maharashtra,Farmer,30000,18.13,9,2023-06-23,Bi-Weekly,Working Capital,LO-014,3590.17,0,Active,814
LN-0275,BRW-0275,Tamil Nadu,Vegetable Seller,15000,19.27,12,2021-07-11,Monthly,Agricultural Input,LO-009,1384.28,0,Closed,812
LN-0276,BRW-0276,Tamil Nadu,Street Vendor,25000,23.0,9,2023-05-30,Monthly,Working Capital,LO-004,3050.72,0,Active,800
LN-0277,BRW-0277,Karnataka,Tailor,12500,22.16,18,2021-01-20,Weekly,Education,LO-011,822.58,86,Active,693
LN-0278,BRW-0278,Tamil Nadu,Weaver,7500,19.83,6,2021-07-29,Weekly,Agricultural Input,LO-012,1323.28,39,Active,747
LN-0279,BRW-0279,Tamil Nadu,Vegetable Seller,10000,18.55,24,2021-01-18,Monthly,Education,LO-006,501.9,0,Closed,816
LN-0280,BRW-0280,Uttar Pradesh,Vegetable Seller,10000,25.36,24,2023-06-26,Weekly,Working Capital,LO-004,535.52,0,Active,777
LN-0281,BRW-0281,West Bengal,Domestic Worker,25000,20.52,9,2022-05-23,Bi-Weekly,Education,LO-003,3020.64,0,Closed,808
LN-0282,BRW-0282,Bihar,Tea Stall Owner,5000,24.78,12,2022-02-25,Monthly,Medical Emergency,LO-017,474.69,0,Closed,795
LN-0283,BRW-0283,Bihar,Vegetable Seller,5000,24.27,9,2023-10-11,Bi-Weekly,Working Capital,LO-008,613.24,0,Active,808
LN-0284,BRW-0284,Karnataka,Carpenter,5000,25.9,12,2021-09-28,Bi-Weekly,Medical Emergency,LO-014,477.41,0,Closed,813
LN-0285,BRW-0285,Tamil Nadu,Weaver,7500,18.13,6,2021-01-29,Bi-Weekly,Asset Purchase,LO-002,1316.92,294,NPA,449
LN-0286,BRW-0286,Bihar,Vegetable Seller,25000,21.39,18,2021-06-18,Monthly,Medical Emergency,LO-018,1635.83,9,Active,764
LN-0287,BRW-0287,Bihar,Farmer,12500,25.79,9,2022-11-01,Bi-Weekly,Medical Emergency,LO-003,1542.37,0,Closed,797
LN-0288,BRW-0288,Uttar Pradesh,Street Vendor,12500,18.69,18,2021-08-26,Bi-Weekly,Medical Emergency,LO-020,801.69,0,Closed,812
LN-0289,BRW-0289,Tamil Nadu,Farmer,5000,23.66,6,2021-12-02,Bi-Weekly,Agricultural Input,LO-017,891.78,0,Closed,822
LN-0290,BRW-0290,Bihar,Tailor,20000,19.02,12,2021-08-30,Weekly,Agricultural Input,LO-014,1843.32,0,Closed,774
LN-0291,BRW-0291,Bihar,Tea Stall Owner,7500,21.97,24,2023-01-08,Weekly,Home Improvement,LO-019,388.98,0,Active,780
LN-0292,BRW-0292,Bihar,Farmer,7500,19.83,24,2021-01-06,Weekly,Working Capital,LO-008,381.1,0,Closed,793
LN-0293,BRW-0293,West Bengal,Tailor,10000,25.45,6,2023-05-09,Weekly,Agricultural Input,LO-008,1792.54,0,Active,816
LN-0294,BRW-0294,Rajasthan,Auto Rickshaw Driver,7500,22.57,6,2023-10-26,Monthly,Working Capital,LO-006,1333.56,0,Active,803
LN-0295,BRW-0295,Maharashtra,Cattle Farmer,7500,25.02,12,2022-09-29,Bi-Weekly,Working Capital,LO-018,712.9,0,Closed,793
LN-0296,BRW-0296,Uttar Pradesh,Auto Rickshaw Driver,15000,23.92,9,2023-08-09,Bi-Weekly,Medical Emergency,LO-016,1837.15,191,NPA,586
LN-0297,BRW-0297,Uttar Pradesh,Tailor,5000,25.46,6,2022-04-23,Monthly,Agricultural Input,LO-001,896.3,91,NPA,708
LN-0298,BRW-0298,West Bengal,Tea Stall Owner,15000,18.83,24,2022-05-03,Bi-Weekly,Home Improvement,LO-002,754.89,163,NPA,619
LN-0299,BRW-0299,Bihar,Farmer,5000,25.37,24,2023-04-26,Monthly,Agricultural Input,LO-015,267.79,134,NPA,646
LN-0300,BRW-0300,Karnataka,Carpenter,10000,23.1,18,2021-06-03,Monthly,Medical Emergency,LO-002,662.63,0,Closed,778
